"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v"
4,1173246.75148786,2017343.2900672,2776624.05634975,2033125.82013172,468594.19035014,0.230479680947528,2018,NA,219580515229.904
5,4013816.47878964,5512071.53254,6975007.01682588,5495745.9596413,893845.582378747,0.162643176912254,2018,NA,798959925138.001
6,706415.250948615,953832.78958765,1268463.78954145,966936.740632882,172754.711118162,0.178661854347463,2018,NA,29844190213.5196
7,999967.369114335,1399826.80443455,1880237.17655179,1408254.26666314,256414.811943652,0.182079911287062,2018,NA,65748555784.0982
8,375560.74261466,576033.46747365,823784.282785485,581967.030270916,141183.256942413,0.242596658571345,2018,NA,19932712040.8674
9,832218.76541755,1291728.69204575,1770089.21160093,1301456.49062711,293340.569266674,0.225394065325477,2018,NA,86048689577.6963
10,212243.213176855,349215.5089922,541366.585272295,357189.280676083,100143.637257879,0.280365740730875,2018,NA,10028748083.2376
11,436714.871414275,657553.30065165,950220.5801799,671954.374832666,153542.107221865,0.228500792572562,2018,NA,23575178690.1306
12,1037149.23485353,1559039.34155075,2175898.64433217,1570456.69751842,353188.450349568,0.224895376553625,2018,NA,124742081460.329
13,857533.21037472,1455189.8903659,2265136.40931067,1494808.75201282,443407.025322763,0.296631274553147,2018,NA,196609790105.582
14,970494.334151595,1486350.7528955,2158748.3492782,1528064.60545824,377920.818570941,0.247319921697689,2018,NA,142824145109.33
15,141872.34029821,267494.95767475,431022.262981115,277023.660061948,93297.0178461735,0.336783572295992,2018,NA,8704333538.98921
16,100086.19724707,181306.49077995,309720.285181855,191470.232630979,63917.6783362066,0.333825668136077,2018,NA,4085469603.89077
17,5309.470088515,33008.10940035,68080.438007775,34196.9238527482,18994.7707883639,0.555452615274849,2018,NA,360801317.302481
NA,0,492.4824639,2093.29973795,690.7467427946,1038.52384891541,1.50347990743146,2018,NA,1078531.78476608
1,0,2008.61959445,16082.088027915,4455.585867016,5686.61681753412,1.27628935616105,2019,NA,32337610.8294619
2,18273.344818265,135822.0634706,389405.129340939,162666.349168012,121578.614624358,0.747410974956992,2019,NA,14781359533.9783
3,993083.06483448,2536679.5015558,5698042.55412593,2813304.0937985,1455078.73401725,0.517213456314499,2019,NA,2117254122189.24
4,380207.307089405,665268.8024235,1081515.40790839,689335.946242878,221574.26840226,0.321431472723739,2019,NA,49095156417.9969
5,1477845.15947388,2143973.1897999,2954202.39384431,2183833.26754842,433437.121548368,0.198475372634536,2019,NA,187867738336.135
6,3477276.46242475,4721705.55674095,6038019.2466665,4736889.30891304,801837.177400355,0.169275050588917,2019,NA,642942859061.369
7,756763.918611285,1125224.0578783,1536123.06293745,1147086.93479317,244982.630241244,0.213569366724082,2019,NA,60016489119.9183
8,804405.441858175,1231885.0885738,1703996.64406626,1238702.2686153,283392.006878488,0.228781373909391,2019,NA,80311029562.617
9,602179.330794015,949744.762367,1354376.34942282,968017.468582313,228800.119061735,0.236359494004605,2019,NA,52349494482.6639
10,722653.060469225,1222223.276734,1768599.41025305,1234701.23844152,308428.2288963,0.24979988623451,2019,NA,95127972380.1085
11,484552.25870293,816511.39191125,1242262.63189655,835198.148028872,231956.272504586,0.277726037889355,2019,NA,53803712354.2215
12,374967.134746635,687520.4228895,1035826.97541333,684238.650330719,208047.447220651,0.304056847885009,2019,NA,43283740295.0296
13,695791.246274155,1347469.6624673,2167069.66785781,1390039.67437134,462613.462520662,0.33280594147781,2019,NA,214011215705.356
14,474176.891974435,942050.5941491,1455698.46590897,952748.359167695,296520.32482114,0.311226277083464,2019,NA,87924303032.0346
15,343509.41566142,629973.14959945,1063910.77415499,656615.6304851,225614.794732785,0.343602534356521,2019,NA,50902035602.3168
16,64530.083983015,138887.02825045,234348.714663165,142574.6568308,52511.6689827119,0.36830997983765,2019,NA,2757475379.34991
17,0,3055.7786606,12657.93234298,4281.4038523448,5228.94193537816,1.22131481068165,2019,NA,27341833.7635563
NA,508.173609875,8571.0631093,24630.066232225,9702.4356812222,7743.01243724438,0.798048314015621,2019,NA,59954241.6033211
